RELIANCE.BO,HDFCBANK.BO,INFY.BO,ICICIBANK.BO,TCS.BO,KOTAKBANK.BO,HINDUNILVR.BO,BHARTIARTL.BO,LT.BO,SBIN.BO,ASHOKLEY.BO,BIOCON.BO,GLENMARK.BO,JSWSTEEL.BO,MRF.BO,PIDILITIND.BO,TORNTPHARMA.BO,UBL.BO,ZEEL.BO,PETRONET.BO,BSESN
1114.047607,1061.554199,647.456116,358.531921,1836.796875,1249.568604,1775.473389,316.680573,1423.520996,293.644257,101.833374,312.196136,685.692688,302.276703,66671.83594,1091.726685,867.96698,1353.302734,474.634369,210.876266,35695.1
1099.095703,1050.926025,651.985779,359.222076,1856.880005,1239.133545,1756.666016,309.991211,1408.365112,288.249084,99.350845,310.87326,675.290649,287.489014,66463.73438,1097.973267,866.132324,1347.838379,464.049591,210.047653,35850.16
1084.640381,1044.153687,650.281067,358.137573,1831.099976,1235.588501,1759.964722,310.338074,1376.325317,285.502441,97.414467,305.706604,656.121155,281.713318,66629.85156,1099.807617,882.937805,1357.872803,457.669006,210.277817,35980.93
1091.892822,1046.872559,643.656921,360.405151,1809.375366,1244.925171,1752.973633,319.703217,1371.734131,291.829498,96.12355,308.676788,657.607178,286.89151,66445.01563,1098.022949,887.243164,1363.088745,459.795868,203.557037,36212.91
1096.26416,1047.984741,653.787903,362.327728,1831.293213,1245.77417,1757.355225,321.536621,1366.45166,290.063812,92.796959,309.450562,647.898621,288.385223,66584.63281,1093.26355,890.423279,1378.835693,457.471191,199.920441,36106.5
1096.760864,1039.506958,652.521545,374.848999,1827.817261,1230.495972,1743.471313,325.897095,1364.427734,299.284637,92.449402,313.319336,648.691101,292.517822,66265.625,1096.138916,887.903687,1402.183105,446.688507,202.498276,36009.84
1101.182007,1046.106323,658.366333,376.623688,1822.748291,1237.136475,1755.878296,332.140533,1367.685913,299.235596,93.740326,314.642181,650.375244,289.381042,65830.625,1090.090576,891.866516,1377.842163,447.03476,197.342621,35853.56
1098.449951,1042.81897,662.165405,374.356049,1823.086182,1219.611328,1758.536987,334.22168,1372.672119,298.843201,94.336128,314.242828,660.579163,288.434998,66436.97656,1105.459473,906.788391,1369.397461,447.084229,197.204514,36318.33
1090.750244,1044.104248,666.013245,373.222198,1778.478149,1219.511597,1741.255859,331.050385,1352.87561,296.783234,93.59137,319.933655,645.818176,288.136292,66824.46875,1098.865723,920.218201,1367.956909,446.243378,198.953751,36321.29
1089.309692,1038.518311,682.768372,368.144684,1751.877563,1208.726807,1736.480103,328.919708,1317.133301,294.772308,92.796959,321.70578,660.133362,282.958069,66228.78906,1124.397705,921.270081,1369.745117,443.473511,199.690262,36374.08
1122.194336,1048.503784,707.754761,367.306641,1799.961304,1210.424561,1760.260132,334.618073,1324.094238,295.262787,92.896263,323.178406,659.687561,290.526215,66123.82031,1149.532959,925.42865,1409.783447,451.783081,197.848969,36386.61
1126.664917,1047.984741,717.496094,369.82077,1805.658081,1203.384399,1742.880615,330.356689,1325.575195,296.979431,93.144516,324.725922,649.879944,285.796143,65823.28906,1143.484619,951.700989,1407.895752,447.232605,202.498276,36578.96
1126.366943,1052.458496,714.427612,368.095398,1829.796753,1218.363037,1723.2854,329.316101,1329.129761,291.682373,92.499062,328.145386,655.031433,287.986908,65689.21094,1143.038452,923.398254,1401.09021,436.252106,204.431656,36444.64
1175.246338,1053.52124,712.089661,366.665802,1834.914063,1235.588501,1716.983521,308.157867,1301.582397,289.573364,91.605347,325.025421,634.871216,284.501587,65622.625,1141.799072,927.630249,1404.070801,435.411255,201.16333,36108.47
1226.460693,1061.109253,723.535645,366.024933,1840.128052,1265.496094,1721.513184,307.662323,1297.583618,286.777679,90.016533,331.065674,640.666687,283.555573,65767.625,1144.872803,918.921631,1476.348267,432.047852,201.025238,36195.1
1226.709106,1055.078491,725.094299,363.80661,1834.865723,1289.761353,1723.088501,301.518005,1284.353149,284.766724,87.385048,333.611572,649.978943,276.58493,65253.35547,1142.840088,936.240967,1450.417847,420.622223,205.398346,36025.54
1217.718018,1042.917847,712.528015,362.475616,1814.975586,1274.383301,1738.646362,301.319794,1284.550537,281.039154,88.477356,334.609955,643.440552,279.124207,65937.49219,1121.373535,933.965942,1435.96228,428.140381,208.850815,35656.7
1237.289795,1039.037231,713.843079,359.862946,1836.217529,1266.14502,1731.802979,298.891815,1280.206177,282.461548,84.207413,334.734741,643.242432,281.812897,64898.37109,1100.154663,923.789612,1440.234375,429.426392,208.022217,35592.5
1238.134155,1035.107422,711.310364,352.074127,1852.921265,1263.348999,1726.141113,304.292847,1269.295898,279.812988,81.973137,331.814484,640.716248,273.946045,63741.49609,1117.010742,910.09082,1413.757446,315.911804,209.080978,35591.25
1221.592651,1029.966309,709.362122,338.616241,1884.687622,1259.354736,1713.980347,302.16214,1284.106323,276.232574,82.618584,324.052002,625.905701,266.577087,62446.10938,1094.007202,904.195496,1395.427368,368.489594,203.004639,36256.69
1203.014526,1017.38562,708.534058,342.01767,1914.8125,1249.169189,1724.664063,304.342438,1261.940063,275.398773,81.675224,324.176819,638.090881,269.514709,61868.79688,1098.270874,917.649658,1427.9646,373.633606,204.753891,36469.43
1187.019409,1004.755432,706.098694,360.109406,1909.69519,1219.76123,1703.591919,300.626099,1278.922729,282.020111,80.334663,322.878876,632.642273,267.075012,61116.52734,1097.973267,905.858948,1418.973389,385.059265,207.101563,36582.74
1219.108887,1028.779907,730.208496,359.123474,1945.178711,1251.465942,1735.249268,304.391937,1296.793823,287.758606,80.731873,323.902222,645.322876,273.448151,61200.78125,1106.897095,889.004456,1415.744507,376.354004,209.771469,36616.81
1239.17749,1033.970337,736.978699,349.510712,1960.772217,1256.30896,1768.728394,308.504669,1307.852173,278.881104,83.115089,332.737976,655.229614,273.348572,61099.95313,1112.449585,883.109131,1440.432983,352.661835,203.649094,36975.23
1282.741821,1041.558472,736.10199,349.609283,1976.607178,1270.988159,1775.522705,303.846924,1290.721558,278.194458,81.774529,326.29837,640.319946,271.854858,59963.14844,1109.475098,897.982056,1431.292847,344.747986,193.199661,36971.09
1281.897461,1045.463623,734.738159,347.390961,1973.903564,1277.279175,1793.296021,305.085663,1288.697388,279.077301,81.327675,324.725922,630.016968,272.502106,60005.32813,1111.805176,889.885071,1413.012329,361.367096,202.406219,36546.48
1301.320068,1049.467773,742.920898,353.848785,2006.24939,1277.229248,1800.533569,305.531616,1295.065918,282.706787,81.923485,316.464233,634.772217,278.128418,59950.17188,1114.135376,881.592407,1397.463989,383.773254,201.945908,36395.03
1281.797974,1046.526489,743.602783,353.700897,2008.228516,1281.523071,1808.755615,308.157867,1283.711304,282.118195,86.987839,327.646179,633.137573,271.705475,59535.63281,1151.962402,882.815491,1383.703979,404.497681,204.661819,36153.62
1269.031616,1049.54187,740.193359,349.90506,1991.669556,1293.705811,1789.554321,310.784027,1246.241089,279.616791,86.094131,326.847473,608.71759,261.448669,56373.78516,1140.460327,876.94458,1371.682495,395.050507,206.733307,36034.11
