RELIANCE.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,BHARTIARTL.NS,LT.NS,SBIN.NS,ASHOKLEY.NS,BIOCON.NS,GLENMARK.NS,JSWSTEEL.NS,MRF.NS,PIDILITIND.NS,TORNTPHARM.NS,UBL.NS,ZEEL.NS,PETRONET.BO,NSE
1004.360229,1036.382446,580.042847,356.709686,1699.33728,1247.377319,1657.557495,284.345551,1329.895752,286.7258,94.583733,309.999176,675.30603,267.479401,66331.5625,1078.166382,830.482239,1332.222778,462.945099,179.252792,10771.80
991.279419,1026.925903,583.531677,357.543243,1717.64502,1237.551514,1642.372437,278.249268,1314.769653,281.270721,92.230667,308.513092,666.427368,254.059174,66167.02344,1083.74353,831.511292,1325.134888,453.30542,179.096252,10802.15
979.049744,1018.868774,583.618958,356.21936,1696.79187,1232.2146,1645.869629,279.005768,1286.638794,278.591064,90.569687,303.163177,645.450623,248.735153,66348.5,1085.308838,844.514221,1337.893188,444.82254,179.096252,10855.15
984.335815,1021.594788,576.554138,358.131592,1676.162109,1244.883423,1639.703491,286.971008,1280.22876,284.859558,89.323952,306.407806,648.0849,253.39917,66134.92969,1081.835449,849.940063,1340.483765,447.232483,172.912415,10821.60
989.801086,1023.138611,585.842957,360.583221,1694.96106,1243.536743,1642.694458,289.195923,1276.308838,283.567596,86.232674,307.44809,637.742859,255.071228,66507.67188,1078.802368,853.026978,1358.716919,446.268494,169.898804,10794.95
989.711487,1014.623169,584.403809,372.792236,1691.076172,1225.880249,1629.718384,293.022797,1274.83313,292.180847,85.863571,311.658661,638.572205,258.635254,65972.82031,1079.095947,850.056946,1379.295776,435.375671,172.24707,10737.60
995.17688,1021.281189,589.680481,374.851593,1685.181885,1235.207275,1642.740723,297.695129,1278.384033,292.180847,87.155441,312.996124,640.718689,255.863266,65605.85938,1074.399536,856.043884,1354.317505,434.990082,167.824432,10886.80
992.264954,1017.276733,592.820374,372.154846,1686.611084,1216.553345,1643.844849,300.187073,1284.425171,292.420105,87.662971,312.302643,651.597229,254.587158,66231.78906,1091.081543,868.345215,1347.620483,435.086456,167.550507,10890.30
983.798279,1018.916992,596.134644,371.223236,1645.529663,1220.194214,1628.383911,298.229156,1263.21167,289.740448,87.017029,318.27179,635.450012,254.147171,66466.67188,1085.308838,882.002991,1346.203003,434.797272,169.624802,10905.20
982.678284,1013.971802,612.1828,366.12384,1619.362671,1208.772461,1623.322021,295.114197,1230.284912,287.491425,86.278816,319.757874,650.475342,249.835129,66184.46875,1110.160767,881.79248,1349.184814,431.953552,169.820496,10906.95
1012.110291,1023.741577,633.725525,365.535461,1668.079712,1210.418457,1647.204102,300.587524,1236.741089,288.687714,86.371086,320.847687,648.865417,257.051208,65730.24219,1143.671509,884.809387,1387.459106,440.340057,168.25499,10961.85
1017.710083,1022.92157,642.621826,368.036072,1670.178345,1199.794556,1631.282837,297.205658,1237.894165,290.12326,86.694061,322.333801,639.986938,252.079193,65527.28906,1129.093018,910.651733,1384.966309,435.809479,172.599335,10922.75
1016.410767,1028.759277,639.612732,367.34964,1695.372314,1216.952148,1611.910278,295.514709,1241.491089,284.620331,86.048119,325.776581,645.401855,254.323196,65340.19531,1126.695923,882.143311,1379.002686,425.013,173.734314,10831.50
1061.118652,1027.770264,637.51947,364.799988,1701.055664,1237.152466,1605.100342,276.914368,1215.527832,282.275635,85.171486,323.002502,624.815247,251.331146,65277.64063,1124.005493,887.639221,1383.157715,424.434631,171.072937,10849.80
1108.917725,1036.406372,649.773682,364.505798,1708.259888,1264.485229,1607.677246,277.092346,1212.437988,279.883057,83.602783,328.426758,630.376587,250.451157,65661.23438,1130.218262,876.670837,1452.520996,420.916138,170.642395,10780.55
1106.632935,1030.47229,650.078857,361.907074,1702.174072,1288.575806,1610.713989,271.307495,1200.078857,277.777588,81.157455,331.200775,640.962585,244.643082,64800.8125,1127.919067,896.947083,1426.760254,409.926941,174.517075,10661.55
1098.703979,1015.780945,638.130005,360.289032,1678.636108,1273.363403,1626.359375,270.284058,1200.355591,274.332275,82.264771,332.216309,633.596313,247.195099,65607.54688,1107.029663,892.994751,1412.584473,417.253113,177.530731,10652.20
1117.653198,1014.261292,641.944885,357.739319,1701.860962,1264.634888,1619.272827,268.459625,1194.72937,275.672119,78.25074,331.943817,633.937805,249.615158,64446.47266,1085.40686,883.570007,1415.908325,418.217072,177.139343,10651.80
1116.354126,1011.24585,640.497803,350.286469,1719.089478,1263.038818,1616.788208,273.665924,1185.598267,273.135986,76.22065,329.26889,631.157166,241.695007,63471.56641,1105.415405,870.754089,1395.866821,306.927063,177.72641,10830.95
1101.615723,1005.528687,638.393311,336.900635,1749.697998,1257.352783,1604.087891,271.574493,1199.433228,269.499298,76.589752,321.516388,616.229492,235.622971,62120.14453,1078.215454,863.808289,1372.941284,359.848846,171.425156,10893.65
1084.682251,992.719299,638.349304,340.13678,1774.533936,1248.325073,1616.696289,273.977417,1178.773438,268.542267,75.943817,321.095398,629.937622,238.439026,61433.20313,1081.982178,877.489502,1404.910156,363.801086,174.595352,10912.25
