,Unnamed: 0,Symbol  ,Date  ,Expiry  ,Strike Price  ,Call Price,Underlying Value  ,Put Price
0,0,NIFTY,22-Dec-2023,28-Dec-2023,22450.0,1.85,21349.40,1022.9
1,1,NIFTY,22-Dec-2023,28-Dec-2023,19200.0,2203.5,21349.40,1.9
2,2,NIFTY,22-Dec-2023,28-Dec-2023,17850.0,3160.0,21349.40,1.35
3,3,NIFTY,22-Dec-2023,28-Dec-2023,17500.0,3918.5,21349.40,0.9
4,4,NIFTY,22-Dec-2023,28-Dec-2023,20650.0,760.75,21349.40,10.5
5,5,NIFTY,22-Dec-2023,28-Dec-2023,21850.0,9.45,21349.40,465.1
6,6,NIFTY,22-Dec-2023,28-Dec-2023,18850.0,2458.15,21349.40,2.15
7,7,NIFTY,22-Dec-2023,28-Dec-2023,20550.0,849.8,21349.40,8.35
8,8,NIFTY,22-Dec-2023,28-Dec-2023,16000.0,5412.85,21349.40,0.8
9,9,NIFTY,22-Dec-2023,28-Dec-2023,21800.0,12.65,21349.40,407.05
10,10,NIFTY,22-Dec-2023,28-Dec-2023,21000.0,437.2,21349.40,28.7
11,11,NIFTY,22-Dec-2023,28-Dec-2023,18750.0,2730.0,21349.40,1.45
12,12,NIFTY,22-Dec-2023,28-Dec-2023,22150.0,2.85,21349.40,742.9
13,13,NIFTY,22-Dec-2023,28-Dec-2023,18650.0,1609.5,21349.40,1.4
14,14,NIFTY,22-Dec-2023,28-Dec-2023,18550.0,3162.9,21349.40,1.3
15,15,NIFTY,22-Dec-2023,28-Dec-2023,20950.0,481.85,21349.40,24.2
16,16,NIFTY,22-Dec-2023,28-Dec-2023,21900.0,7.2,21349.40,500.65
17,17,NIFTY,22-Dec-2023,28-Dec-2023,17750.0,3600.0,21349.40,1.35
18,18,NIFTY,22-Dec-2023,28-Dec-2023,20850.0,565.75,21349.40,17.9
19,19,NIFTY,22-Dec-2023,28-Dec-2023,19000.0,2402.95,21349.40,1.95
20,20,NIFTY,22-Dec-2023,28-Dec-2023,22800.0,0.9,21349.40,1420.35
21,21,NIFTY,22-Dec-2023,28-Dec-2023,21700.0,22.35,21349.40,316.7
22,22,NIFTY,22-Dec-2023,28-Dec-2023,20300.0,1119.45,21349.40,4.65
23,23,NIFTY,22-Dec-2023,28-Dec-2023,22650.0,1.25,21349.40,2656.8
24,24,NIFTY,22-Dec-2023,28-Dec-2023,21650.0,30.75,21349.40,276.15
25,25,NIFTY,22-Dec-2023,28-Dec-2023,22100.0,3.1,21349.40,688.1
26,26,NIFTY,22-Dec-2023,28-Dec-2023,23000.0,0.85,21349.40,1580.6
27,27,NIFTY,22-Dec-2023,28-Dec-2023,22400.0,1.95,21349.40,1219.5
28,28,NIFTY,22-Dec-2023,28-Dec-2023,20750.0,673.3,21349.40,14.0
29,29,NIFTY,22-Dec-2023,28-Dec-2023,18200.0,3108.7,21349.40,1.25
30,30,NIFTY,22-Dec-2023,28-Dec-2023,18300.0,3105.0,21349.40,1.55
31,31,NIFTY,22-Dec-2023,28-Dec-2023,17450.0,2466.55,21349.40,0.85
32,32,NIFTY,22-Dec-2023,28-Dec-2023,22550.0,1.65,21349.40,2563.0
33,33,NIFTY,22-Dec-2023,28-Dec-2023,22000.0,4.85,21349.40,596.15
34,34,NIFTY,22-Dec-2023,28-Dec-2023,21550.0,57.3,21349.40,199.85
35,35,NIFTY,22-Dec-2023,28-Dec-2023,19700.0,1708.25,21349.40,2.15
36,36,NIFTY,22-Dec-2023,28-Dec-2023,20350.0,1086.55,21349.40,5.35
37,37,NIFTY,22-Dec-2023,28-Dec-2023,14000.0,7383.7,21349.40,0.7
38,38,NIFTY,22-Dec-2023,28-Dec-2023,22250.0,2.2,21349.40,876.55
39,39,NIFTY,22-Dec-2023,28-Dec-2023,21150.0,301.35,21349.40,46.25
40,40,NIFTY,22-Dec-2023,28-Dec-2023,17400.0,2454.75,21349.40,0.9
41,41,NIFTY,22-Dec-2023,28-Dec-2023,20250.0,1136.9,21349.40,4.4
42,42,NIFTY,22-Dec-2023,28-Dec-2023,21350.0,157.3,21349.40,97.5
43,43,NIFTY,22-Dec-2023,28-Dec-2023,19250.0,2161.05,21349.40,1.9
44,44,NIFTY,22-Dec-2023,28-Dec-2023,17650.0,2222.45,21349.40,1.05
45,45,NIFTY,22-Dec-2023,28-Dec-2023,20700.0,710.5,21349.40,12.5
46,46,NIFTY,22-Dec-2023,28-Dec-2023,19550.0,1831.25,21349.40,1.95
47,47,NIFTY,22-Dec-2023,28-Dec-2023,22750.0,0.95,21349.40,1653.6
48,48,NIFTY,22-Dec-2023,28-Dec-2023,18100.0,3340.0,21349.40,1.4
49,49,NIFTY,22-Dec-2023,28-Dec-2023,20600.0,813.95,21349.40,9.4
50,50,NIFTY,22-Dec-2023,28-Dec-2023,11000.0,10392.75,21349.40,0.65
51,51,NIFTY,22-Dec-2023,28-Dec-2023,18150.0,1040.1,21349.40,1.55
52,52,NIFTY,22-Dec-2023,28-Dec-2023,19300.0,2020.0,21349.40,1.9
53,53,NIFTY,22-Dec-2023,28-Dec-2023,22350.0,1.9,21349.40,950.45
54,54,NIFTY,22-Dec-2023,28-Dec-2023,19150.0,2258.6,21349.40,1.8
55,55,NIFTY,22-Dec-2023,28-Dec-2023,19350.0,2026.8,21349.40,1.75
56,56,NIFTY,22-Dec-2023,28-Dec-2023,19100.0,2303.0,21349.40,2.2
57,57,NIFTY,22-Dec-2023,28-Dec-2023,18250.0,3261.4,21349.40,1.2
58,58,NIFTY,22-Dec-2023,28-Dec-2023,21950.0,5.9,21349.40,552.45
59,59,NIFTY,22-Dec-2023,28-Dec-2023,20450.0,953.35,21349.40,6.6
60,60,NIFTY,22-Dec-2023,28-Dec-2023,20400.0,998.5,21349.40,6.0
61,61,NIFTY,22-Dec-2023,28-Dec-2023,22600.0,1.4,21349.40,1139.5
62,62,NIFTY,22-Dec-2023,28-Dec-2023,18800.0,2529.0,21349.40,2.1
63,63,NIFTY,22-Dec-2023,28-Dec-2023,19400.0,2008.05,21349.40,1.9
64,64,NIFTY,22-Dec-2023,28-Dec-2023,19800.0,1606.05,21349.40,2.3
65,65,NIFTY,22-Dec-2023,28-Dec-2023,20900.0,522.65,21349.40,21.25
66,66,NIFTY,22-Dec-2023,28-Dec-2023,19950.0,1437.5,21349.40,2.6
67,67,NIFTY,22-Dec-2023,28-Dec-2023,13000.0,8358.3,21349.40,0.75
68,68,NIFTY,22-Dec-2023,28-Dec-2023,21050.0,382.9,21349.40,33.1
69,69,NIFTY,22-Dec-2023,28-Dec-2023,24000.0,0.8,21349.40,2588.8
70,70,NIFTY,22-Dec-2023,28-Dec-2023,20500.0,906.6,21349.40,7.4
71,71,NIFTY,22-Dec-2023,28-Dec-2023,22950.0,0.85,21349.40,1832.65
72,72,NIFTY,22-Dec-2023,28-Dec-2023,22700.0,1.05,21349.40,1125.0
73,73,NIFTY,22-Dec-2023,28-Dec-2023,22200.0,2.35,21349.40,795.75
74,74,NIFTY,22-Dec-2023,28-Dec-2023,20200.0,1202.5,21349.40,3.8
75,75,NIFTY,22-Dec-2023,28-Dec-2023,15000.0,6402.6,21349.40,0.5
76,76,NIFTY,22-Dec-2023,28-Dec-2023,21100.0,342.8,21349.40,39.0
77,77,NIFTY,22-Dec-2023,28-Dec-2023,19750.0,1643.75,21349.40,2.2
78,78,NIFTY,22-Dec-2023,28-Dec-2023,19850.0,1546.1,21349.40,2.3
79,79,NIFTY,22-Dec-2023,28-Dec-2023,17950.0,1951.35,21349.40,1.4
80,80,NIFTY,22-Dec-2023,28-Dec-2023,21250.0,226.2,21349.40,66.8
81,81,NIFTY,22-Dec-2023,28-Dec-2023,17700.0,3781.2,21349.40,0.9
82,82,NIFTY,22-Dec-2023,28-Dec-2023,19500.0,1904.1,21349.40,1.9
83,83,NIFTY,22-Dec-2023,28-Dec-2023,17350.0,2097.05,21349.40,0.8
84,84,NIFTY,22-Dec-2023,28-Dec-2023,20150.0,1257.0,21349.40,3.4
85,85,NIFTY,22-Dec-2023,28-Dec-2023,20000.0,1399.45,21349.40,3.0
86,86,NIFTY,22-Dec-2023,28-Dec-2023,21500.0,75.85,21349.40,168.2
87,87,NIFTY,22-Dec-2023,28-Dec-2023,18700.0,2706.9,21349.40,1.8
88,88,NIFTY,22-Dec-2023,28-Dec-2023,21300.0,189.55,21349.40,81.15
89,89,NIFTY,22-Dec-2023,28-Dec-2023,18600.0,2829.8,21349.40,1.8
90,90,NIFTY,22-Dec-2023,28-Dec-2023,19600.0,1796.3,21349.40,2.05
91,91,NIFTY,22-Dec-2023,28-Dec-2023,18450.0,1400.0,21349.40,1.65
92,92,NIFTY,22-Dec-2023,28-Dec-2023,21450.0,98.15,21349.40,140.3
93,93,NIFTY,22-Dec-2023,28-Dec-2023,21750.0,16.85,21349.40,359.5
94,94,NIFTY,22-Dec-2023,28-Dec-2023,21600.0,42.25,21349.40,235.65
95,95,NIFTY,22-Dec-2023,28-Dec-2023,22850.0,0.85,21349.40,2827.2
96,96,NIFTY,22-Dec-2023,28-Dec-2023,18500.0,2904.6,21349.40,1.55
97,97,NIFTY,22-Dec-2023,28-Dec-2023,17800.0,3565.1,21349.40,1.2
98,98,NIFTY,22-Dec-2023,28-Dec-2023,19050.0,2315.0,21349.40,1.9
99,99,NIFTY,22-Dec-2023,28-Dec-2023,17600.0,3932.05,21349.40,0.95
100,100,NIFTY,22-Dec-2023,28-Dec-2023,22500.0,1.75,21349.40,1112.9
101,101,NIFTY,22-Dec-2023,28-Dec-2023,17550.0,2355.7,21349.40,0.95
102,102,NIFTY,22-Dec-2023,28-Dec-2023,17000.0,4415.85,21349.40,0.75
103,103,NIFTY,22-Dec-2023,28-Dec-2023,18000.0,3408.0,21349.40,1.3
104,104,NIFTY,22-Dec-2023,28-Dec-2023,22900.0,0.85,21349.40,2876.85
105,105,NIFTY,22-Dec-2023,28-Dec-2023,18950.0,2439.1,21349.40,1.7
106,106,NIFTY,22-Dec-2023,28-Dec-2023,19650.0,1781.7,21349.40,2.25
107,107,NIFTY,22-Dec-2023,28-Dec-2023,25000.0,0.7,21349.40,3572.0
108,108,NIFTY,22-Dec-2023,28-Dec-2023,21400.0,125.75,21349.40,117.0
109,109,NIFTY,22-Dec-2023,28-Dec-2023,18350.0,3000.45,21349.40,1.4
110,110,NIFTY,22-Dec-2023,28-Dec-2023,22050.0,3.75,21349.40,647.35
111,111,NIFTY,22-Dec-2023,28-Dec-2023,20050.0,1372.75,21349.40,2.95
112,112,NIFTY,22-Dec-2023,28-Dec-2023,18900.0,2516.45,21349.40,2.1
113,113,NIFTY,22-Dec-2023,28-Dec-2023,14500.0,5793.55,21349.40,0.8
114,114,NIFTY,22-Dec-2023,28-Dec-2023,20100.0,1314.65,21349.40,3.2
115,115,NIFTY,22-Dec-2023,28-Dec-2023,19450.0,1957.3,21349.40,1.95
116,116,NIFTY,22-Dec-2023,28-Dec-2023,18400.0,3009.0,21349.40,1.6
117,117,NIFTY,22-Dec-2023,28-Dec-2023,22300.0,2.15,21349.40,924.95
118,118,NIFTY,22-Dec-2023,28-Dec-2023,19900.0,1515.5,21349.40,2.45
119,119,NIFTY,22-Dec-2023,28-Dec-2023,20800.0,617.2,21349.40,16.0
120,120,NIFTY,22-Dec-2023,28-Dec-2023,17900.0,3460.0,21349.40,1.35
121,121,NIFTY,22-Dec-2023,28-Dec-2023,21200.0,262.65,21349.40,55.55
122,122,NIFTY,22-Dec-2023,28-Dec-2023,18050.0,1863.3,21349.40,1.55
123,123,NIFTY,22-Dec-2023,04-Jan-2024,21800.0,74.8,21349.40,404.35
124,124,NIFTY,22-Dec-2023,04-Jan-2024,22400.0,7.2,21349.40,2416.1
125,125,NIFTY,22-Dec-2023,04-Jan-2024,20600.0,905.0,21349.40,27.9
126,126,NIFTY,22-Dec-2023,04-Jan-2024,18850.0,1168.5,21349.40,23.1
127,127,NIFTY,22-Dec-2023,04-Jan-2024,22850.0,3.3,21349.40,2793.95
128,128,NIFTY,22-Dec-2023,04-Jan-2024,20350.0,1055.0,21349.40,16.35
129,129,NIFTY,22-Dec-2023,04-Jan-2024,19350.0,2378.3,21349.40,3.05
130,130,NIFTY,22-Dec-2023,04-Jan-2024,19650.0,570.15,21349.40,6.65
131,131,NIFTY,22-Dec-2023,04-Jan-2024,19800.0,1572.95,21349.40,5.95
132,132,NIFTY,22-Dec-2023,04-Jan-2024,19550.0,633.15,21349.40,22.9
133,133,NIFTY,22-Dec-2023,04-Jan-2024,21950.0,44.65,21349.40,524.05
134,134,NIFTY,22-Dec-2023,04-Jan-2024,20950.0,579.3,21349.40,60.8
135,135,NIFTY,22-Dec-2023,04-Jan-2024,20550.0,934.45,21349.40,25.05
136,136,NIFTY,22-Dec-2023,04-Jan-2024,21200.0,380.7,21349.40,109.5
137,137,NIFTY,22-Dec-2023,04-Jan-2024,18350.0,1622.35,21349.40,2.9
138,138,NIFTY,22-Dec-2023,04-Jan-2024,22250.0,14.45,21349.40,2269.2
139,139,NIFTY,22-Dec-2023,04-Jan-2024,18650.0,1345.05,21349.40,18.05
140,140,NIFTY,22-Dec-2023,04-Jan-2024,19850.0,524.5,21349.40,6.55
141,141,NIFTY,22-Dec-2023,04-Jan-2024,22900.0,3.2,21349.40,2843.5
142,142,NIFTY,22-Dec-2023,04-Jan-2024,22550.0,4.65,21349.40,2563.6
143,143,NIFTY,22-Dec-2023,04-Jan-2024,20450.0,945.0,21349.40,20.45
144,144,NIFTY,22-Dec-2023,04-Jan-2024,22950.0,3.0,21349.40,2691.1
145,145,NIFTY,22-Dec-2023,04-Jan-2024,18550.0,1436.05,21349.40,15.65
146,146,NIFTY,22-Dec-2023,04-Jan-2024,19700.0,1827.0,21349.40,5.2
147,147,NIFTY,22-Dec-2023,04-Jan-2024,21000.0,540.05,21349.40,68.55
148,148,NIFTY,22-Dec-2023,04-Jan-2024,19400.0,2114.0,21349.40,7.0
149,149,NIFTY,22-Dec-2023,04-Jan-2024,20500.0,987.25,21349.40,22.7
150,150,NIFTY,22-Dec-2023,04-Jan-2024,22200.0,17.25,21349.40,2220.35
151,151,NIFTY,22-Dec-2023,04-Jan-2024,18900.0,1125.7,21349.40,5.5
152,152,NIFTY,22-Dec-2023,04-Jan-2024,21650.0,121.2,21349.40,298.6
153,153,NIFTY,22-Dec-2023,04-Jan-2024,21050.0,492.75,21349.40,77.0
154,154,NIFTY,22-Dec-2023,04-Jan-2024,20200.0,1030.55,21349.40,12.1
155,155,NIFTY,22-Dec-2023,04-Jan-2024,22650.0,3.75,21349.40,2662.15
156,156,NIFTY,22-Dec-2023,04-Jan-2024,19000.0,2390.3,21349.40,3.0
157,157,NIFTY,22-Dec-2023,04-Jan-2024,20250.0,1047.45,21349.40,13.55
158,158,NIFTY,22-Dec-2023,04-Jan-2024,20700.0,790.6,21349.40,34.8
159,159,NIFTY,22-Dec-2023,04-Jan-2024,20050.0,1060.0,21349.40,9.1
160,160,NIFTY,22-Dec-2023,04-Jan-2024,19600.0,1766.5,21349.40,4.7
161,161,NIFTY,22-Dec-2023,04-Jan-2024,18950.0,1083.45,21349.40,27.8
162,162,NIFTY,22-Dec-2023,04-Jan-2024,20800.0,722.2,21349.40,43.4
163,163,NIFTY,22-Dec-2023,04-Jan-2024,20400.0,1110.2,21349.40,18.4
164,164,NIFTY,22-Dec-2023,04-Jan-2024,21750.0,88.5,21349.40,366.7
165,165,NIFTY,22-Dec-2023,04-Jan-2024,22050.0,31.3,21349.40,611.35
166,166,NIFTY,22-Dec-2023,04-Jan-2024,22600.0,3.8,21349.40,2612.85
167,167,NIFTY,22-Dec-2023,04-Jan-2024,21100.0,450.8,21349.40,86.6
168,168,NIFTY,22-Dec-2023,04-Jan-2024,18400.0,1575.3,21349.40,2.2
169,169,NIFTY,22-Dec-2023,04-Jan-2024,22100.0,25.75,21349.40,602.25
170,170,NIFTY,22-Dec-2023,04-Jan-2024,20000.0,1480.85,21349.40,8.15
171,171,NIFTY,22-Dec-2023,04-Jan-2024,19950.0,1450.0,21349.40,7.65
172,172,NIFTY,22-Dec-2023,04-Jan-2024,20150.0,649.75,21349.40,10.95
173,173,NIFTY,22-Dec-2023,04-Jan-2024,21150.0,413.8,21349.40,97.2
174,174,NIFTY,22-Dec-2023,04-Jan-2024,22150.0,21.8,21349.40,712.35
175,175,NIFTY,22-Dec-2023,04-Jan-2024,20850.0,675.35,21349.40,48.95
176,176,NIFTY,22-Dec-2023,04-Jan-2024,22000.0,37.5,21349.40,563.7
177,177,NIFTY,22-Dec-2023,04-Jan-2024,22450.0,6.1,21349.40,2465.2
178,178,NIFTY,22-Dec-2023,04-Jan-2024,20100.0,1236.0,21349.40,10.0
179,179,NIFTY,22-Dec-2023,04-Jan-2024,22800.0,3.05,21349.40,1142.4
