,Symbol  ,Date  ,Expiry  ,Strike Price  ,Call Price,Underlying Value  ,Put Price
0,TCS,22-Dec-2023,28-Dec-2023,3080.0,528.35,3824.0,17.0
1,TCS,22-Dec-2023,28-Dec-2023,3740.0,104.3,3824.0,7.85
2,TCS,22-Dec-2023,28-Dec-2023,3400.0,445.0,3824.0,0.8
3,TCS,22-Dec-2023,28-Dec-2023,4380.0,3.05,3824.0,775.15
4,TCS,22-Dec-2023,28-Dec-2023,3140.0,476.45,3824.0,0.4
5,TCS,22-Dec-2023,28-Dec-2023,3020.0,581.95,3824.0,11.7
6,TCS,22-Dec-2023,28-Dec-2023,4140.0,2.25,3824.0,286.3
7,TCS,22-Dec-2023,28-Dec-2023,4300.0,1.3,3824.0,700.55
8,TCS,22-Dec-2023,28-Dec-2023,3320.0,334.7,3824.0,0.55
9,TCS,22-Dec-2023,28-Dec-2023,3180.0,443.05,3824.0,0.7
10,TCS,22-Dec-2023,28-Dec-2023,3940.0,13.5,3824.0,112.55
11,TCS,22-Dec-2023,28-Dec-2023,4120.0,2.2,3824.0,538.85
12,TCS,22-Dec-2023,28-Dec-2023,2960.0,637.0,3824.0,7.8
13,TCS,22-Dec-2023,28-Dec-2023,4180.0,2.05,3824.0,591.6
14,TCS,22-Dec-2023,28-Dec-2023,3280.0,364.05,3824.0,1.7
15,TCS,22-Dec-2023,28-Dec-2023,4340.0,1.1,3824.0,737.7
16,TCS,22-Dec-2023,28-Dec-2023,3240.0,394.8,3824.0,1.05
17,TCS,22-Dec-2023,28-Dec-2023,3100.0,501.0,3824.0,0.6
18,TCS,22-Dec-2023,28-Dec-2023,3800.0,62.85,3824.0,21.35
19,TCS,22-Dec-2023,28-Dec-2023,3300.0,540.0,3824.0,0.8
20,TCS,22-Dec-2023,28-Dec-2023,3460.0,350.0,3824.0,0.7
21,TCS,22-Dec-2023,28-Dec-2023,3160.0,459.65,3824.0,0.15
22,TCS,22-Dec-2023,28-Dec-2023,4080.0,3.1,3824.0,240.85
23,TCS,22-Dec-2023,28-Dec-2023,3380.0,247.95,3824.0,0.65
24,TCS,22-Dec-2023,28-Dec-2023,3000.0,879.3,3824.0,0.3
25,TCS,22-Dec-2023,28-Dec-2023,3840.0,38.8,3824.0,39.55
26,TCS,22-Dec-2023,28-Dec-2023,3340.0,191.0,3824.0,0.65
27,TCS,22-Dec-2023,28-Dec-2023,3540.0,273.0,3824.0,0.85
28,TCS,22-Dec-2023,28-Dec-2023,4260.0,1.6,3824.0,663.8
29,TCS,22-Dec-2023,28-Dec-2023,3500.0,329.35,3824.0,0.95
30,TCS,22-Dec-2023,28-Dec-2023,3560.0,280.0,3824.0,1.0
31,TCS,22-Dec-2023,28-Dec-2023,3260.0,379.3,3824.0,0.55
32,TCS,22-Dec-2023,28-Dec-2023,3880.0,26.3,3824.0,64.95
33,TCS,22-Dec-2023,28-Dec-2023,3660.0,173.2,3824.0,2.65
34,TCS,22-Dec-2023,28-Dec-2023,4160.0,2.2,3824.0,573.9
35,TCS,22-Dec-2023,28-Dec-2023,3480.0,368.05,3824.0,0.75
36,TCS,22-Dec-2023,28-Dec-2023,3760.0,91.4,3824.0,11.1
37,TCS,22-Dec-2023,28-Dec-2023,3860.0,32.75,3824.0,54.1
38,TCS,22-Dec-2023,28-Dec-2023,4200.0,1.95,3824.0,312.1
39,TCS,22-Dec-2023,28-Dec-2023,3980.0,8.6,3824.0,149.55
40,TCS,22-Dec-2023,28-Dec-2023,4240.0,1.7,3824.0,645.6
41,TCS,22-Dec-2023,28-Dec-2023,4280.0,1.3,3824.0,682.15
42,TCS,22-Dec-2023,28-Dec-2023,4020.0,4.95,3824.0,181.65
43,TCS,22-Dec-2023,28-Dec-2023,3440.0,357.0,3824.0,0.85
44,TCS,22-Dec-2023,28-Dec-2023,4040.0,4.3,3824.0,184.65
45,TCS,22-Dec-2023,28-Dec-2023,3060.0,546.05,3824.0,15.05
46,TCS,22-Dec-2023,28-Dec-2023,3720.0,118.25,3824.0,5.6
47,TCS,22-Dec-2023,28-Dec-2023,2980.0,618.5,3824.0,8.95
