,Symbol  ,Date  ,Expiry  ,Strike Price  ,Call Price,Underlying Value  ,Put Price
0,WIPRO,22-Dec-2023,28-Dec-2023,377.5,42.1,462.65,0.3
1,WIPRO,22-Dec-2023,28-Dec-2023,345.0,68.4,462.65,1.95
2,WIPRO,22-Dec-2023,28-Dec-2023,360.0,55.55,462.65,0.1
3,WIPRO,22-Dec-2023,28-Dec-2023,362.5,53.55,462.65,1.05
4,WIPRO,22-Dec-2023,28-Dec-2023,480.0,3.7,462.65,18.45
5,WIPRO,22-Dec-2023,28-Dec-2023,477.5,3.9,462.65,17.5
6,WIPRO,22-Dec-2023,28-Dec-2023,432.5,32.2,462.65,1.05
7,WIPRO,22-Dec-2023,28-Dec-2023,402.5,31.6,462.65,0.3
8,WIPRO,22-Dec-2023,28-Dec-2023,407.5,49.5,462.65,0.3
9,WIPRO,22-Dec-2023,28-Dec-2023,452.5,15.35,462.65,3.95
10,WIPRO,22-Dec-2023,28-Dec-2023,392.5,18.3,462.65,0.2
11,WIPRO,22-Dec-2023,28-Dec-2023,365.0,51.55,462.65,0.1
12,WIPRO,22-Dec-2023,28-Dec-2023,475.0,4.9,462.65,14.85
13,WIPRO,22-Dec-2023,28-Dec-2023,375.0,43.9,462.65,0.15
14,WIPRO,22-Dec-2023,28-Dec-2023,367.5,49.55,462.65,0.15
15,WIPRO,22-Dec-2023,28-Dec-2023,500.0,1.15,462.65,87.65
16,WIPRO,22-Dec-2023,28-Dec-2023,510.0,0.65,462.65,96.95
17,WIPRO,22-Dec-2023,28-Dec-2023,372.5,45.75,462.65,0.05
18,WIPRO,22-Dec-2023,28-Dec-2023,380.0,87.0,462.65,0.15
19,WIPRO,22-Dec-2023,28-Dec-2023,395.0,51.0,462.65,0.2
20,WIPRO,22-Dec-2023,28-Dec-2023,460.0,10.9,462.65,6.95
21,WIPRO,22-Dec-2023,28-Dec-2023,490.0,1.9,462.65,78.55
22,WIPRO,22-Dec-2023,28-Dec-2023,470.0,6.55,462.65,11.95
23,WIPRO,22-Dec-2023,28-Dec-2023,495.0,1.45,462.65,32.0
24,WIPRO,22-Dec-2023,28-Dec-2023,335.0,77.45,462.65,1.15
25,WIPRO,22-Dec-2023,28-Dec-2023,512.5,1.25,462.65,99.3
26,WIPRO,22-Dec-2023,28-Dec-2023,465.0,8.5,462.65,9.2
27,WIPRO,22-Dec-2023,28-Dec-2023,467.5,7.6,462.65,10.4
28,WIPRO,22-Dec-2023,28-Dec-2023,502.5,1.75,462.65,90.0
29,WIPRO,22-Dec-2023,28-Dec-2023,352.5,61.85,462.65,2.75
30,WIPRO,22-Dec-2023,28-Dec-2023,462.5,9.4,462.65,8.05
31,WIPRO,22-Dec-2023,28-Dec-2023,487.5,2.25,462.65,76.35
32,WIPRO,22-Dec-2023,28-Dec-2023,485.0,2.7,462.65,23.3
33,WIPRO,22-Dec-2023,28-Dec-2023,420.0,44.85,462.65,0.5
34,WIPRO,22-Dec-2023,28-Dec-2023,337.5,75.15,462.65,1.3
35,WIPRO,22-Dec-2023,28-Dec-2023,415.0,50.5,462.65,0.35
36,WIPRO,22-Dec-2023,28-Dec-2023,340.0,72.9,462.65,1.5
37,WIPRO,22-Dec-2023,28-Dec-2023,342.5,70.65,462.65,1.7
38,WIPRO,22-Dec-2023,28-Dec-2023,350.0,88.35,462.65,0.1
39,WIPRO,22-Dec-2023,28-Dec-2023,357.5,57.65,462.65,3.45
40,WIPRO,22-Dec-2023,28-Dec-2023,382.5,38.55,462.65,0.15
41,WIPRO,22-Dec-2023,28-Dec-2023,492.5,1.7,462.65,80.8
42,WIPRO,22-Dec-2023,28-Dec-2023,400.0,64.35,462.65,0.25
43,WIPRO,22-Dec-2023,28-Dec-2023,440.0,25.8,462.65,1.7
44,WIPRO,22-Dec-2023,28-Dec-2023,455.0,13.9,462.65,4.75
45,WIPRO,22-Dec-2023,28-Dec-2023,332.5,79.75,462.65,1.0
46,WIPRO,22-Dec-2023,28-Dec-2023,520.0,0.45,462.65,106.4
47,WIPRO,22-Dec-2023,28-Dec-2023,515.0,1.15,462.65,101.65
48,WIPRO,22-Dec-2023,28-Dec-2023,442.5,23.85,462.65,2.0
49,WIPRO,22-Dec-2023,28-Dec-2023,505.0,0.7,462.65,92.3
50,WIPRO,22-Dec-2023,28-Dec-2023,430.0,34.8,462.65,0.9
51,WIPRO,22-Dec-2023,28-Dec-2023,347.5,66.2,462.65,2.2
52,WIPRO,22-Dec-2023,28-Dec-2023,390.0,76.4,462.65,0.2
53,WIPRO,22-Dec-2023,28-Dec-2023,385.0,60.2,462.65,0.15
54,WIPRO,22-Dec-2023,28-Dec-2023,497.5,1.15,462.65,34.0
55,WIPRO,22-Dec-2023,28-Dec-2023,425.0,39.85,462.65,0.65
56,WIPRO,22-Dec-2023,28-Dec-2023,507.5,1.45,462.65,94.6
57,WIPRO,22-Dec-2023,28-Dec-2023,355.0,59.75,462.65,3.1
58,WIPRO,22-Dec-2023,28-Dec-2023,482.5,3.0,462.65,71.9
59,WIPRO,22-Dec-2023,28-Dec-2023,445.0,21.55,462.65,2.25
60,WIPRO,22-Dec-2023,28-Dec-2023,457.5,12.1,462.65,5.8
61,WIPRO,22-Dec-2023,28-Dec-2023,387.5,68.6,462.65,0.2
62,WIPRO,22-Dec-2023,28-Dec-2023,412.5,33.45,462.65,0.35
63,WIPRO,22-Dec-2023,28-Dec-2023,422.5,37.65,462.65,0.6
64,WIPRO,22-Dec-2023,28-Dec-2023,435.0,31.05,462.65,1.2
65,WIPRO,22-Dec-2023,28-Dec-2023,472.5,5.45,462.65,13.4
66,WIPRO,22-Dec-2023,28-Dec-2023,405.0,60.6,462.65,0.25
67,WIPRO,22-Dec-2023,28-Dec-2023,437.5,28.2,462.65,1.45
68,WIPRO,22-Dec-2023,28-Dec-2023,450.0,17.45,462.65,3.15
69,WIPRO,22-Dec-2023,28-Dec-2023,370.0,70.05,462.65,0.1
70,WIPRO,22-Dec-2023,28-Dec-2023,517.5,1.05,462.65,104.0
71,WIPRO,22-Dec-2023,28-Dec-2023,330.0,82.1,462.65,0.25
72,WIPRO,22-Dec-2023,28-Dec-2023,327.5,72.6,462.65,0.75
73,WIPRO,22-Dec-2023,28-Dec-2023,447.5,19.4,462.65,2.7
74,WIPRO,22-Dec-2023,28-Dec-2023,410.0,54.75,462.65,0.3
75,WIPRO,22-Dec-2023,28-Dec-2023,427.5,36.85,462.65,0.8
